hotel_name,source,review_id,rating_raw,rating_0_5,review_title,review_comment,date,scraped_at,url,sentiment,topics,source_file,clean_comment,clean_full_text,lda_topic
Haile Adama Grand Resort,TripAdvisor,AD1,5.0,5.0,Perfect Weekend,Amazing pool and friendly staff. Loved the ambience.,2025-01-28,2025-12-01,https://tripadvisor.com/AD1,positive,pool|staff,haile_adama_grand.csv,amazing pool friendly staff love ambience,Perfect Weekend amazing pool friendly staff love ambience,1
Haile Adama Grand Resort,TripAdvisor,AD2,4.0,4.0,Great Rooms,Rooms were spacious and modern. Comfortable beds.,2025-02-14,2025-12-01,https://tripadvisor.com/AD2,positive,rooms,haile_adama_grand.csv,room spacious modern comfortable bed,Great Rooms room spacious modern comfortable bed,2
Haile Adama Grand Resort,TripAdvisor,AD3,3.0,3.0,Okay Food,Food selection was limited but tasted fine.,2024-10-11,2025-12-01,https://tripadvisor.com/AD3,neutral,food,haile_adama_grand.csv,food selection limit taste fine,Okay Food food selection limit taste fine,3
Haile Adama Grand Resort,TripAdvisor,AD4,2.0,2.0,Unclean Bathroom,Bathroom had stains and wasn’t cleaned properly.,2024-09-19,2025-12-01,https://tripadvisor.com/AD4,negative,cleaning,haile_adama_grand.csv,bathroom stain clean properly,Unclean Bathroom bathroom stain clean properly,1
Haile Adama Grand Resort,TripAdvisor,AD5,1.0,1.0,Poor Service,Reception staff seemed uninterested and unhelpful.,2024-08-04,2025-12-01,https://tripadvisor.com/AD5,negative,staff|service,haile_adama_grand.csv,reception staff seem uninterested unhelpful,Poor Service reception staff seem uninterested unhelpful,6
Haile Adama Grand Resort,Expedia,AD6,5.0,5.0,Excellent Stay,My family enjoyed the pool and the playground.,2025-05-18,2025-12-01,https://expedia.com/AD6,positive,pool|family,haile_adama_grand.csv,family enjoy pool playground,Excellent Stay family enjoy pool playground,7
Haile Adama Grand Resort,Expedia,AD7,4.0,4.0,Good Food,The breakfast buffet was great and well-organized.,2025-01-07,2025-12-01,https://expedia.com/AD7,positive,food,haile_adama_grand.csv,breakfast buffet great well organize,Good Food breakfast buffet great well organize,3
Haile Adama Grand Resort,Expedia,AD8,3.0,3.0,Average Stay,Room was fine but AC was noisy.,2024-11-15,2025-12-01,https://expedia.com/AD8,neutral,maintenance|rooms,haile_adama_grand.csv,room fine noisy,Average Stay room fine noisy,3
Haile Adama Grand Resort,Expedia,AD9,2.0,2.0,Slow Check-in,Waited 25 minutes just to check in.,2025-03-02,2025-12-01,https://expedia.com/AD9,negative,service,haile_adama_grand.csv,wait minute check,Slow Check-in wait minute check,6
Haile Adama Grand Resort,Expedia,AD10,1.0,1.0,Bad Experience,Room smelled moldy and pool was closed.,2024-09-01,2025-12-01,https://expedia.com/AD10,negative,rooms|pool,haile_adama_grand.csv,room smell moldy pool close,Bad Experience room smell moldy pool close,2
Haile Adama Grand Resort,Facebook,AD11,,,Good Atmosphere,Beautiful outdoor area and nice lighting.,2025-03-27,2025-12-01,https://facebook.com/AD11,positive,ambience,haile_adama_grand.csv,beautiful outdoor area nice lighting,Good Atmosphere beautiful outdoor area nice lighting,4
Haile Adama Grand Resort,Facebook,AD12,,,Friendly Staff,Team was kind and welcoming.,2025-02-10,2025-12-01,https://facebook.com/AD12,positive,staff,haile_adama_grand.csv,team kind welcome,Friendly Staff team kind welcome,3
Haile Adama Grand Resort,Facebook,AD13,,,Food Needs Improvement,Food was not fresh and lacked flavor.,2024-12-22,2025-12-01,https://facebook.com/AD13,negative,food,haile_adama_grand.csv,food fresh lack flavor,Food Needs Improvement food fresh lack flavor,4
Haile Adama Grand Resort,Facebook,AD14,,,Nice Pool,Kids enjoyed the pool. Clean and safe.,2025-06-05,2025-12-01,https://facebook.com/AD14,positive,pool,haile_adama_grand.csv,kid enjoy pool clean safe,Nice Pool kid enjoy pool clean safe,2
Haile Adama Grand Resort,Facebook,AD15,,,Slow Wi-Fi,Internet was weak during the evening.,2024-11-12,2025-12-01,https://facebook.com/AD15,negative,internet,haile_adama_grand.csv,internet weak evening,Slow Wi-Fi internet weak evening,0
Haile Adama Grand Resort,KAYAK,AD16,4.0,4.0,Great Value,Affordable price for the quality.,2025-05-14,2025-12-01,https://kayak.com/AD16,positive,price,haile_adama_grand.csv,affordable price quality,Great Value affordable price quality,7
Haile Adama Grand Resort,KAYAK,AD17,3.0,3.0,It Was Fine,Nothing special; room was okay.,2024-08-25,2025-12-01,https://kayak.com/AD17,neutral,rooms,haile_adama_grand.csv,nothing special room okay,It Was Fine nothing special room okay,3
Haile Adama Grand Resort,KAYAK,AD18,2.0,2.0,Dirty Towels,Found stains on towels. Not acceptable.,2024-10-01,2025-12-01,https://kayak.com/AD18,negative,cleaning,haile_adama_grand.csv,find stain towel acceptable,Dirty Towels find stain towel acceptable,6
